"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","rank_8","rank_9","rank_10","rank_11","rank_12","score_1","score_2","score_3","score_4","score_5","score_6","score_7","score_8","score_9","score_10","score_11","score_12"
"beeee4843c631b830c661109b067419a","OLIVIA KERSTETTER","US","17","15","5","34","32","3","36","28","19","6","16","16","1","6 rep","15:49.36","CAP+10","CAP+15","05:50.91","10:07.18","22:00.58","09:00.41","434 lb","11:46.89","11:33.85","07:22.25"
"bad64f50301cf905720b88225822e607","JAMIE SIMMONDS","NZ","32","8","16","18","6","30","1","17","6","28","20","20","20","7 rep","17:18.60","CAP","CAP+3","CAP+19","08:27.12","19:33.45","08:29.88","365 lb","","",""
"7f40beb9b507ee37f5336f4b22c203db","PAIGE SEMENZA","US","31","13","33","30","14","9","18","15","18","24","19","11","17","6 rep","CAP+5","CAP+9","CAP+14","CAP+4","09:12.09","19:04.91","08:52.18","399 lb","12:58.53","10:29.62","09:47.17"
"0c9b788004e1d51a2e573110cc0b8248","SHELBY NEAL","US","23","30","19","4","35","39","12","18","14","12","14","17","15","6 rep","17:34.08","03:57.57","CAP+29","CAP+41","09:03.67","19:38.31","08:44.71","423 lb","11:37.86","11:49.20","09:06.61"
"c21535956f001613a01860807417e219","ELISA FULIANO","IT","27","26","24","2","37","15","10","16","28","13","17","15","19","6 rep","CAP+1","03:46.89","CAP+29","CAP+10","08:56.06","19:25.58","09:39.79","422 lb","11:49.73","11:19.53","CAP"
"58704bfc711f2228967a38d1a0d882c8","KELLY BAKER","US","31","27","30","38","17","12","25","8","22","9","20","20","20","6 rep","CAP+3","CAP+31","CAP+14","CAP+5","09:22.96","18:31.83","09:01.90","427 lb","","",""
"3e8dcffed0587851c04440d9c5893530","CHRISTINE KOLENBRANDER","US","31","33","7","11","23","24","31","30","29","2","20","20","20","6 rep","16:18.58","04:53.16","CAP+14","CAP+15","09:38.61","22:54.32","10:02.92","447 lb","","",""
"6e44f54a7b8ceee55a8e5eb2239e3cd3","SEHER KAYA","TR","25","20","32","26","31","14","9","9","23","25","20","20","20","6 rep","CAP+4","CAP+5","CAP+15","CAP+8","08:55.34","18:33.26","09:17.38","385 lb","","",""
"48956db4b6047f7de91f4856ef2c80a5","AMANDA BARNHART","US","31","28","30","15","24","6","33","26","26","4","20","20","20","6 rep","CAP+3","05:31.74","CAP+14","CAP","09:47.67","21:24.74","09:19.47","444 lb","","",""
"67035a730d714a0ab8e464a301bc5986","REBECKA VITESSON","SE","29","24","24","23","7","24","22","22","20","17","20","20","20","6 rep","CAP+1","CAP+5","CAP+3","CAP+15","09:17.19","19:47.09","09:00.74","420 lb","","",""
"28664633400ffeadcd820d11ff27fca0","ABIGAIL DOMIT","US","25","31","27","28","8","36","17","20","24","10","20","20","20","6 rep","CAP+2","CAP+9","CAP+4","CAP+27","09:09.82","19:40.40","09:18.02","426 lb","","",""
"ab5a1fdda9de7d96097a24dfe1b99000","CAROLINE STANLEY","US","23","16","34","33","29","17","16","14","27","17","20","20","20","6 rep","CAP+6","CAP+10","CAP+15","CAP+12","09:07.14","19:04.27","09:25.78","420 lb","","",""
"2b5133ca9afb8b4c40bdeb508aefe32f","SYDNEY WELLS","US","28","38","14","8","40","24","26","10","25","23","20","20","20","6 rep","17:03.83","04:33.67","CAP+44","CAP+15","09:24.97","18:37.28","09:19.42","400 lb","","",""
"8a7fb1e02e2b2a19cfd3bfc7054dfafb","BAYLEE RAYL","US","27","29","9","9","28","30","21","27","21","27","20","20","20","6 rep","16:27.08","04:45.39","CAP+15","CAP+19","09:14.32","21:35.20","09:01.82","380 lb","","",""
"3a36cd8e06a2582c309b5736241b3bab","ALEXIA WILLIAMS","AR","24","34","24","32","10","17","30","29","30","21","20","20","20","6 rep","CAP+1","CAP+10","CAP+9","CAP+12","09:37.90","22:40.89","10:13.39","410 lb","","",""
"5caf8f884845671a35779329ef2bece4","ELLIE TURNER","AU","25","19","18","38","22","5","39","31","31","31","20","20","20","6 rep","17:32.37","CAP+31","CAP+14","05:58.87","CAP+28","","","","","",""
"18fa9531ff9aad06b7dd7122a446da45","FEEROOZEH SAGHAFI","US","28","23","23","31","18","22","28","31","31","31","20","20","20","6 rep","17:57.60","CAP+10","CAP+14","CAP+13","09:30.39","","","","","",""
"aa9aae5849c39cba5e872df41c132008","MATILDE GARNES","NO","27","25","27","10","21","35","32","31","31","31","20","20","20","6 rep","CAP+2","04:51.37","CAP+14","CAP+22","09:43.44","","","","","",""
"5fc59474362e3bf19026e152baa96e17","ELLA WUNGER","SE","25","22","34","40","26","4","29","31","31","31","20","20","20","6 rep","CAP+6","CAP+33","CAP+14","05:54.35","09:33.67","","","","","",""
"511b0025bbf6a1cb773f236c5386741a","MANON ANGONESE","BE","30","32","11","24","36","38","20","31","31","31","20","20","20","6 rep","16:41.68","CAP+5","CAP+29","CAP+31","09:14.12","","","","","",""
"855e2fab006ab3b8aa1e1acbeacf575b","EMMA MCQUAID","IE","33","17","27","37","33","28","40","31","31","31","20","20","20","6 rep","CAP+2","CAP+16","CAP+15","CAP+16","","","","","","",""
"1e0ea53167c7b67a965075fcc93f85b4","MICHELLE BASNETT","ZA","26","35","38","21","27","24","38","31","31","31","20","20","20","6 rep","CAP+10","CAP+5","CAP+15","CAP+15","10:49.80","","","","","",""
"e6a060c337a12bf311a5e4a592966d74","VICTORIA CAMPOS","BR","30","37","40","29","16","30","37","31","31","31","20","20","20","6 rep","CAP+195","CAP+9","CAP+14","CAP+19","10:16.80","","","","","",""
"15630949f11a339211285f78ce9cc182","SHAHAD BUDEBS","AE","28","39","34","20","25","40","34","31","31","31","20","20","20","5 rep","CAP+6","CAP+5","CAP+14","CAP+46","09:49.24","","","","","",""
"c115caef7433e4de8c95b89896323a8e","EMILY DE ROOY","AU","22","36","39","25","38","23","35","31","31","31","20","20","20","6 rep","CAP+14","CAP+5","CAP+29","CAP+14","09:51.92","","","","","",""
